timestamp,lat,lon,alt_m,speed_kmh,heading,battery_v,sats
00:00:00.0,28.61389,77.209018,108.0,7.0,118.4,16.78,8
00:00:04.0,28.613878,77.209046,117.4,9.9,113.5,16.75,12
00:00:08.0,28.613868,77.209069,126.0,8.6,113.6,16.73,8
00:00:12.0,28.613857,77.209096,133.0,9.7,112.6,16.7,9
00:00:16.0,28.613845,77.209126,137.5,10.7,111.7,16.68,12
00:00:20.0,28.613834,77.20916,139.3,11.8,108.4,16.66,12
00:00:24.0,28.613819,77.209203,138.7,15.2,109.3,16.63,11
00:00:28.0,28.613807,77.209241,136.5,13.5,106.0,16.61,12
00:00:32.0,28.613796,77.209291,133.7,16.9,103.5,16.58,9
00:00:36.0,28.613783,77.20934,131.9,16.9,104.3,16.56,12
00:00:40.0,28.613773,77.209395,132.1,18.7,100.5,16.54,12
00:00:44.0,28.613766,77.209452,135.4,19.0,96.7,16.51,8
00:00:48.0,28.613765,77.209511,141.9,19.9,91.5,16.49,8
00:00:52.0,28.613763,77.209575,151.4,21.1,91.4,16.46,12
00:00:56.0,28.613764,77.209639,162.9,21.5,89.2,16.44,12
00:01:00.0,28.613767,77.209711,175.0,23.9,87.5,16.42,9
00:01:04.0,28.613767,77.209784,186.1,24.5,89.9,16.39,9
00:01:08.0,28.61377,77.209854,194.7,23.4,87.5,16.37,11
00:01:12.0,28.61377,77.209934,199.8,26.7,90.3,16.34,10
00:01:16.0,28.613776,77.210015,201.0,26.9,85.2,16.32,12
00:01:20.0,28.613779,77.210097,198.7,27.3,88.3,16.3,9
00:01:24.0,28.613783,77.210186,193.9,29.8,87.3,16.27,8
00:01:28.0,28.613786,77.210277,188.5,30.3,88.2,16.25,10
00:01:32.0,28.613792,77.210365,182.3,29.5,86.4,16.22,11
00:01:36.0,28.613798,77.210456,177.2,30.2,85.9,16.2,8
00:01:40.0,28.613805,77.21055,176.1,31.3,85.6,16.18,8
00:01:44.0,28.613808,77.210636,179.4,28.7,88.0,16.15,12
00:01:48.0,28.613805,77.21073,186.2,31.5,91.8,16.13,10
00:01:52.0,28.613795,77.210821,195.3,30.6,96.5,16.1,10
00:01:56.0,28.613786,77.210907,205.0,28.6,96.0,16.08,9
00:02:00.0,28.613777,77.210997,213.3,30.3,95.9,16.06,9
00:02:04.0,28.613774,77.21109,218.6,30.8,91.5,16.03,9
00:02:08.0,28.613764,77.211178,219.9,29.7,96.5,16.01,11
00:02:12.0,28.613755,77.211264,217.0,28.7,95.9,15.98,12
00:02:16.0,28.613753,77.211352,210.4,29.3,91.5,15.96,11
00:02:20.0,28.613755,77.211445,201.3,31.1,88.9,15.94,11
00:02:24.0,28.613753,77.211539,191.7,31.5,91.1,15.91,11
00:02:28.0,28.613758,77.211633,183.2,31.4,86.9,15.89,9
00:02:32.0,28.61376,77.21172,177.7,29.0,88.8,15.86,8
00:02:36.0,28.61376,77.21181,176.0,30.0,89.9,15.84,10
00:02:40.0,28.613767,77.211898,178.7,29.3,85.6,15.82,12
00:02:44.0,28.613772,77.211986,185.1,29.6,86.4,15.79,9
00:02:48.0,28.613778,77.212078,194.0,30.6,86.6,15.77,12
00:02:52.0,28.613779,77.212169,203.7,30.5,89.5,15.74,11
00:02:56.0,28.613774,77.212263,212.3,31.2,92.8,15.72,12
00:03:00.0,28.613772,77.212352,218.1,29.7,91.6,15.7,8
00:03:04.0,28.613771,77.212442,220.0,29.9,90.4,15.67,9
00:03:08.0,28.613776,77.212528,217.6,28.7,86.9,15.65,9
00:03:12.0,28.613779,77.212614,211.5,28.8,88.1,15.62,8
00:03:16.0,28.613788,77.212699,202.7,28.5,83.9,15.6,8
00:03:20.0,28.613795,77.212793,193.0,31.3,85.3,15.58,8
00:03:24.0,28.613801,77.212886,184.2,31.1,86.7,15.55,9
00:03:28.0,28.613797,77.212977,178.2,30.4,92.1,15.53,12
00:03:32.0,28.613801,77.213066,176.0,29.6,87.6,15.5,11
00:03:36.0,28.613806,77.21316,178.1,31.5,87.2,15.48,11
00:03:40.0,28.613816,77.213248,184.0,29.4,82.9,15.46,10
00:03:44.0,28.613828,77.213339,192.7,30.7,82.7,15.43,9
00:03:48.0,28.613845,77.213428,202.4,30.0,79.1,15.41,12
00:03:52.0,28.613858,77.213516,211.2,29.6,81.4,15.38,8
00:03:56.0,28.613876,77.213606,217.5,30.8,79.0,15.36,8
00:04:00.0,28.613898,77.213695,220.0,30.6,76.1,15.34,10
00:04:04.0,28.613923,77.213786,218.2,31.2,74.4,15.31,9
00:04:08.0,28.613942,77.213874,212.5,30.1,77.8,15.29,10
00:04:12.0,28.61396,77.213963,204.0,30.4,79.1,15.26,9
00:04:16.0,28.613971,77.214055,194.3,30.9,82.9,15.24,9
00:04:20.0,28.613982,77.214142,185.3,29.1,82.8,15.22,8
00:04:24.0,28.613988,77.214236,178.8,31.5,86.3,15.19,11
00:04:28.0,28.61399,77.214324,176.0,29.3,88.6,15.17,10
00:04:32.0,28.613984,77.214413,177.5,29.8,93.9,15.14,10
00:04:36.0,28.61398,77.214507,183.0,31.4,92.3,15.12,9
00:04:40.0,28.613977,77.214594,191.4,28.8,91.9,15.1,10
00:04:44.0,28.613972,77.214681,201.1,29.1,93.4,15.07,12
00:04:48.0,28.613967,77.214774,210.1,31.0,93.1,15.05,10
00:04:52.0,28.61397,77.214867,216.8,30.9,88.2,15.02,8
00:04:56.0,28.613968,77.21496,219.9,31.2,91.5,15.0,9
00:05:00.0,28.613971,77.21505,218.7,29.9,87.7,14.98,10
00:05:04.0,28.613967,77.215136,213.5,28.8,93.0,14.95,11
00:05:08.0,28.613957,77.215225,205.2,29.9,96.0,14.93,8
00:05:12.0,28.613954,77.215317,195.6,30.7,92.0,14.9,9
00:05:16.0,28.613949,77.215403,186.4,28.6,93.1,14.88,11
00:05:20.0,28.613951,77.215496,179.5,30.9,88.8,14.86,12
00:05:24.0,28.61395,77.21559,176.2,31.4,90.7,14.83,10
00:05:28.0,28.613948,77.215677,177.1,29.0,91.3,14.81,8
00:05:32.0,28.613938,77.215762,182.1,28.5,97.0,14.78,8
00:05:36.0,28.613919,77.21585,190.1,30.1,102.2,14.76,11
00:05:40.0,28.613905,77.215943,199.7,31.5,98.5,14.74,9
00:05:44.0,28.613897,77.216029,209.0,28.6,95.1,14.71,12
00:05:48.0,28.613888,77.216116,216.1,29.2,96.1,14.69,10
00:05:52.0,28.613872,77.216205,219.7,30.1,100.1,14.66,8
00:05:56.0,28.613859,77.216298,219.1,31.2,98.3,14.64,11
00:06:00.0,28.613839,77.216387,214.4,30.5,102.1,14.62,12
00:06:04.0,28.613813,77.216472,206.5,29.8,107.1,14.59,12
00:06:08.0,28.613794,77.216557,196.9,28.9,103.0,14.57,12
00:06:12.0,28.613775,77.216641,187.6,28.6,102.2,14.54,9
00:06:16.0,28.613751,77.216728,180.3,30.3,105.6,14.52,9
00:06:20.0,28.613728,77.216812,176.4,29.0,105.2,14.5,8
00:06:24.0,28.613707,77.2169,176.7,30.2,103.2,14.47,12
00:06:28.0,28.613687,77.216988,181.2,30.1,102.9,14.45,8
00:06:32.0,28.613675,77.217081,188.9,31.1,97.6,14.42,9
00:06:36.0,28.613658,77.217167,198.4,29.3,100.9,14.4,12
00:06:40.0,28.61365,77.217257,207.8,29.9,95.2,14.38,8
00:06:44.0,28.61364,77.217345,215.3,29.8,96.6,14.35,12
00:06:48.0,28.613635,77.217436,219.5,30.3,93.0,14.33,10
00:06:52.0,28.61363,77.217526,219.4,29.9,93.4,14.3,11
00:06:56.0,28.613629,77.217616,215.3,30.0,90.3,14.28,12
00:07:00.0,28.61362,77.217709,207.7,31.1,95.6,14.26,10
00:07:04.0,28.613603,77.217801,198.3,31.3,100.4,14.23,9
00:07:08.0,28.613594,77.217894,188.8,31.0,96.0,14.21,8
00:07:12.0,28.613588,77.217982,181.1,29.7,93.8,14.18,9
00:07:16.0,28.613587,77.218072,176.7,29.8,90.3,14.16,10
00:07:20.0,28.613579,77.218164,176.4,30.9,95.1,14.14,9
00:07:24.0,28.613568,77.218257,180.3,31.3,96.8,14.11,10
00:07:28.0,28.613551,77.218342,187.7,28.9,101.4,14.09,11
00:07:32.0,28.613525,77.218426,197.0,29.2,106.9,14.06,11
00:07:36.0,28.613504,77.218517,206.6,31.2,102.8,14.04,9
00:07:40.0,28.613486,77.218602,214.5,29.0,102.0,14.02,12
00:07:44.0,28.613469,77.21869,219.1,29.7,101.0,13.99,10
00:07:48.0,28.613448,77.218776,219.7,29.5,103.7,13.97,8
00:07:52.0,28.613428,77.218862,216.1,29.5,103.2,13.94,8
00:07:56.0,28.613407,77.218948,208.9,29.7,103.4,13.92,10
00:08:00.0,28.613395,77.219037,199.6,30.0,98.2,13.9,9
00:08:04.0,28.613389,77.219132,190.0,31.4,93.5,13.87,10
00:08:08.0,28.613376,77.219219,182.0,29.3,98.3,13.85,9
00:08:12.0,28.61337,77.219306,177.1,29.3,93.9,13.82,11
00:08:16.0,28.613361,77.219399,176.2,31.0,96.0,13.8,10
00:08:20.0,28.613351,77.219488,179.6,29.7,96.4,13.78,12
00:08:24.0,28.613337,77.219577,186.5,30.2,98.8,13.75,8
00:08:28.0,28.613318,77.219663,195.7,29.3,102.4,13.73,9
00:08:32.0,28.613306,77.219752,205.3,29.8,97.3,13.7,8
00:08:36.0,28.613289,77.219841,213.5,30.4,100.9,13.68,8
00:08:40.0,28.613277,77.219931,218.7,30.3,97.6,13.66,10
00:08:44.0,28.613266,77.220024,219.9,31.1,97.0,13.63,10
00:08:48.0,28.613256,77.220118,216.8,31.5,96.0,13.61,10
00:08:52.0,28.613255,77.220209,210.0,30.4,90.6,13.58,9
00:08:56.0,28.613245,77.220302,201.0,31.3,96.2,13.56,10
00:09:00.0,28.613241,77.220388,191.3,28.7,92.6,13.54,10
00:09:04.0,28.613236,77.220479,182.9,30.4,93.0,13.51,9
00:09:08.0,28.613231,77.220567,177.5,29.4,93.0,13.49,9
